13'在交给布林德，中路给鲁尼，扎哈拼抢下来                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
47'曼联左侧定位球，马塔送入禁区，伊布胸部一停直接做到门前，球碰到丹恩之后稍有变向，博格巴小禁区内跟上轻松扫射破网                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'下半场开始，水晶宫开球                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'本特克回敲给德莱尼，长传到前场                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'右侧拼抢，麦克阿瑟把球控制下来                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
46'右侧传中进去，后点本特克护住救回来                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
47'回敲到弧顶中央给到莱德利                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
47'莱德利外围趟了一步，大力低射，，稍稍偏出啊，，危险                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
47'曼联中路组织，埃雷拉在给马塔                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
47'右侧交给拜利，横向转移给到罗霍                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
48'左侧再分布林德被碰出边线                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
48'曼联界外球直接扔到前场，凯利回敲亨尼西                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
48'大脚开出，埃雷拉回敲给到德赫亚                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
48'大脚开起来，中圈水晶宫把球抢下来                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
49'莱德利在给身边麦克阿瑟，分到卡巴耶                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
49'中路搓入禁区，挑进来本特克顶了一下，出了底线                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
49'德赫亚大脚开出                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
49'拼抢中鲁尼把球碰出界外                   46'1分钟后，曼联打出精妙配合，伊布禁区内线处直塞球送给禁区内的林加德，后者转身打门都被亨尼挡出底线
87'博格巴左侧拿球推进，突然的一脚直塞                   87'87分钟，曼联迎来绝杀
87'巧妙的交给到禁区左侧，伊布建功                   87'87分钟，曼联迎来绝杀
88'关键时刻，1亿先生送出妙传，大奉先又建功了                   87'87分钟，曼联迎来绝杀
89'博格巴左侧销魂直塞，伊布左肋插上，在角度不大的情况下，倒地挑射，半高球绕过出击的亨尼西进网                   87'87分钟，曼联迎来绝杀
89'右侧卡巴耶交给凯利，加速推进                   87'87分钟，曼联迎来绝杀
90'埃雷拉拼抢卡住对方前进线路，凯利撞人犯规                   87'87分钟，曼联迎来绝杀
90'定位球长传到左侧                   87'87分钟，曼联迎来绝杀
90'还是凯利头球顶出边线                   87'87分钟，曼联迎来绝杀
90'下半场补时4分钟                   87'87分钟，曼联迎来绝杀
90'边线球，给到中间达米安                   87'87分钟，曼联迎来绝杀
90'在给左侧博格巴，护球被卡巴耶破坏出去                   87'87分钟，曼联迎来绝杀
